               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098804,            0.028788,            0.026546,           0.0029762,             0.16667,           0.0029576,          0.00051732,            0.089713,            0.024196,            0.015879,              0.0991,              0.0001,              0.0001
                   1,             0.08554,            0.027965,            0.017542,           0.0031847,            0.083333,           0.0021033,          0.00042065,            0.089336,             0.02384,             0.01575,            0.097294,          0.00029406,          0.00029406
                   2,             0.10779,            0.029779,            0.024397,            0.003012,             0.16667,           0.0033581,          0.00057801,            0.088839,            0.023714,            0.015474,             0.09548,           0.0004802,           0.0004802
                   3,             0.10126,            0.028235,            0.021837,                   0,                   0,                   0,                   0,             0.08791,            0.023301,            0.015142,            0.093658,          0.00065842,          0.00065842
                   4,            0.095381,            0.027754,            0.022831,           0.0014663,            0.083333,             0.00122,            0.000488,            0.086431,            0.022679,            0.014802,            0.091829,          0.00082872,          0.00082872
                   5,             0.10205,            0.026956,            0.020569,            0.001462,            0.083333,           0.0011272,          0.00045088,            0.084817,            0.022215,            0.014466,            0.089991,           0.0009911,           0.0009911
                   6,            0.086992,            0.026771,            0.019433,           0.0013812,            0.083333,            0.001066,          0.00041898,            0.082851,            0.021426,            0.014773,            0.088146,           0.0011456,           0.0011456
                   7,            0.079526,            0.027637,            0.015798,           0.0014006,            0.083333,           0.0010224,          0.00030672,            0.079613,            0.020884,            0.014754,            0.086292,           0.0012921,           0.0012921
                   8,             0.06192,            0.026505,            0.013011,           0.0013928,            0.083333,           0.0014331,          0.00042994,            0.077734,            0.020798,            0.013851,            0.084431,           0.0014307,           0.0014307
                   9,            0.073662,            0.026391,            0.019675,           0.0034771,             0.58333,              0.1259,            0.025333,            0.073854,            0.020793,            0.013595,            0.082561,           0.0015614,           0.0015614
                  10,            0.065891,            0.028554,            0.015984,           0.0034674,             0.58333,             0.10111,            0.040123,            0.072441,            0.020427,            0.013091,            0.080684,           0.0016842,           0.0016842
                  11,            0.054378,            0.025435,            0.013294,            0.004857,             0.66667,             0.50837,            0.051348,            0.069584,            0.020086,            0.012102,            0.078799,           0.0017991,           0.0017991
                  12,            0.063212,             0.02715,            0.014361,           0.0050754,             0.83333,             0.50736,            0.089199,            0.066491,            0.019772,            0.011238,            0.076906,            0.001906,            0.001906
                  13,             0.06032,            0.025373,            0.013054,           0.0050701,             0.83333,             0.51012,             0.12716,             0.06234,            0.019566,            0.010759,            0.075005,            0.002005,            0.002005
                  14,            0.057997,            0.030481,            0.012576,           0.0051355,             0.83333,              0.5095,             0.15655,            0.059985,            0.018614,            0.010538,            0.073096,           0.0020961,           0.0020961
                  15,             0.05863,            0.027467,            0.012825,            0.005038,             0.83333,            0.079152,             0.01623,            0.058126,            0.018063,            0.010402,            0.071179,           0.0021793,           0.0021793
                  16,            0.057745,            0.027311,            0.016456,           0.0050195,             0.83333,            0.034819,           0.0096641,            0.058174,            0.017352,            0.010493,            0.069255,           0.0022546,           0.0022546
                  17,             0.04958,            0.025931,            0.014679,           0.0043884,             0.91667,             0.13493,            0.066726,            0.059692,            0.016701,             0.01072,            0.067322,           0.0023219,           0.0023219
